x value,receive time,header.stamp,topic,value
25.417497431974404,1730359816.261709230,,/estimatedpose.pose.position.y,10.634372126755403
25.599928191231047,1730359816.465988864,,/estimatedpose.pose.position.y,10.829228551591482
25.07190460590232,1730359816.564621621,,/estimatedpose.pose.position.y,10.907052319995202
24.859908575800954,1730359816.701308648,,/estimatedpose.pose.position.y,10.977600045494594
24.769876048876046,1730359816.865088572,,/estimatedpose.pose.position.y,11.060648304223813
24.440273752564558,1730359817.061803979,,/estimatedpose.pose.position.y,11.164780327021028
24.307022570914157,1730359817.161260339,,/estimatedpose.pose.position.y,11.208862150230306
24.1271635081946,1730359817.263812995,,/estimatedpose.pose.position.y,11.270675379419544
24.002417412776015,1730359817.361150585,,/estimatedpose.pose.position.y,11.285453919331907
23.919088012058076,1730359817.664153885,,/estimatedpose.pose.position.y,11.270876153098211
23.91799742869756,1730359818.861936806,,/estimatedpose.pose.position.y,11.269823162934955
23.923081611771256,1730359819.261309378,,/estimatedpose.pose.position.y,11.27337048888085
23.879663284761612,1730359819.383345522,,/estimatedpose.pose.position.y,11.274363500641066
23.879896580290303,1730359819.562310321,,/estimatedpose.pose.position.y,11.267676206728986
23.878531272839002,1730359819.665778934,,/estimatedpose.pose.position.y,11.26411186208954
23.87957722845726,1730359819.763689109,,/estimatedpose.pose.position.y,11.253547245257373
23.879569670524692,1730359819.861339962,,/estimatedpose.pose.position.y,11.24922247723648
23.877097036422708,1730359820.064700704,,/estimatedpose.pose.position.y,11.245240880237375
23.87582782660897,1730359820.161352996,,/estimatedpose.pose.position.y,11.243385988982688
23.875645180488235,1730359820.362999277,,/estimatedpose.pose.position.y,11.241807868011465
23.869399832173713,1730359820.463851916,,/estimatedpose.pose.position.y,11.23928065012856
23.867734415325064,1730359820.562330117,,/estimatedpose.pose.position.y,11.243700930510377
23.868050931301433,1730359820.763650947,,/estimatedpose.pose.position.y,11.257535969537749
23.872512099707066,1730359820.962547552,,/estimatedpose.pose.position.y,11.264537581100946
23.880720534803388,1730359821.162935453,,/estimatedpose.pose.position.y,11.267133760434739
23.880730734890793,1730359821.364393415,,/estimatedpose.pose.position.y,11.266220756240314
23.88348765453313,1730359821.562291550,,/estimatedpose.pose.position.y,11.269209050920587
23.886271025805303,1730359821.787889383,,/estimatedpose.pose.position.y,11.271776920071538
23.887886353307533,1730359822.061111995,,/estimatedpose.pose.position.y,11.270649508602693
23.884240645972955,1730359822.164683525,,/estimatedpose.pose.position.y,11.274520050309144
23.830836953376576,1730359822.361171568,,/estimatedpose.pose.position.y,11.218783985376387
23.761131133331894,1730359822.962964912,,/estimatedpose.pose.position.y,11.143347281500274
23.694743565846803,1730359823.162388694,,/estimatedpose.pose.position.y,11.066847031078282
26.28140698204088,1730359823.363632336,,/estimatedpose.pose.position.y,11.31127741397018
26.650970626588695,1730359823.614570959,,/estimatedpose.pose.position.y,11.713098779633254
26.818117498802913,1730359823.763323994,,/estimatedpose.pose.position.y,11.851945596966354
26.769354956649043,1730359823.965600548,,/estimatedpose.pose.position.y,11.79782296993409
26.688828869240673,1730359824.062383517,,/estimatedpose.pose.position.y,11.756170161024887
26.618536622159244,1730359824.162326834,,/estimatedpose.pose.position.y,11.701540765988085
26.442959959253013,1730359824.281768806,,/estimatedpose.pose.position.y,11.550382033602887
26.372362271521123,1730359824.382623476,,/estimatedpose.pose.position.y,11.492125613870222
26.24586388571011,1730359824.565092309,,/estimatedpose.pose.position.y,11.380544805492482
26.167864271174736,1730359824.661297818,,/estimatedpose.pose.position.y,11.302623119789038
26.090308534868534,1730359824.761162864,,/estimatedpose.pose.position.y,11.230855619395498
25.99671014084833,1730359824.861291567,,/estimatedpose.pose.position.y,11.15026664565912
25.872752013465437,1730359824.964089778,,/estimatedpose.pose.position.y,11.042796268253792
25.81282260832652,1730359825.064850017,,/estimatedpose.pose.position.y,10.982469492725349
25.655648113347727,1730359825.289049721,,/estimatedpose.pose.position.y,10.85827124775651
25.580454396704496,1730359825.464625137,,/estimatedpose.pose.position.y,10.784517918748874
25.489975106458512,1730359825.763355598,,/estimatedpose.pose.position.y,10.70009835502873
25.40750060761757,1730359825.863809706,,/estimatedpose.pose.position.y,10.620760823529775
25.35166544566722,1730359825.970846496,,/estimatedpose.pose.position.y,10.571362063850685
25.270008539957953,1730359826.061795500,,/estimatedpose.pose.position.y,10.489552579705352
25.158396415743905,1730359826.262138533,,/estimatedpose.pose.position.y,10.373857608913768
25.09624673810333,1730359826.366909536,,/estimatedpose.pose.position.y,10.315979412862886
24.96707175331859,1730359826.461152499,,/estimatedpose.pose.position.y,10.222851950330854
24.892964061589772,1730359826.561577944,,/estimatedpose.pose.position.y,10.148436044286179
24.813007887173626,1730359826.661862646,,/estimatedpose.pose.position.y,10.068415422747993
24.683572632211764,1730359826.761256037,,/estimatedpose.pose.position.y,9.963281691014565
24.631504191710718,1730359826.862022957,,/estimatedpose.pose.position.y,9.911817530519786
24.50609638904461,1730359827.061436898,,/estimatedpose.pose.position.y,9.77154103503862
24.396781566646133,1730359827.166762386,,/estimatedpose.pose.position.y,9.673634220960803
24.324832921710634,1730359827.263729025,,/estimatedpose.pose.position.y,9.60614170189837
24.232055527321535,1730359827.463206521,,/estimatedpose.pose.position.y,9.509500339982262
24.171322717804603,1730359827.561211037,,/estimatedpose.pose.position.y,9.456298730147381
24.096956991975087,1730359827.661137923,,/estimatedpose.pose.position.y,9.38210231009558
24.044592903005544,1730359827.764249488,,/estimatedpose.pose.position.y,9.323676133394766
23.98907810598039,1730359827.862870916,,/estimatedpose.pose.position.y,9.274679488204605
23.91174827484951,1730359827.962330345,,/estimatedpose.pose.position.y,9.202867044586325
23.884517623528755,1730359828.966016225,,/estimatedpose.pose.position.y,9.191798066909529
23.842259672634395,1730359829.466189300,,/estimatedpose.pose.position.y,9.138882813642093
23.864597503343223,1730359829.661085388,,/estimatedpose.pose.position.y,9.172076174454329
23.88504345968167,1730359829.764697272,,/estimatedpose.pose.position.y,9.201919303309522
23.895517597402417,1730359829.865624660,,/estimatedpose.pose.position.y,9.219368401638276
23.932717632199534,1730359830.164860675,,/estimatedpose.pose.position.y,9.26847601132857
23.934957960196094,1730359830.261398450,,/estimatedpose.pose.position.y,9.272911932170938
23.92787721805347,1730359830.461238637,,/estimatedpose.pose.position.y,9.26536837416688
23.945094476504575,1730359830.662275273,,/estimatedpose.pose.position.y,9.276126493814672
23.95069580613133,1730359831.062270444,,/estimatedpose.pose.position.y,9.27673694463775
23.943856074234784,1730359831.162554469,,/estimatedpose.pose.position.y,9.273665621417049
23.9296866242,1730359831.563028022,,/estimatedpose.pose.position.y,9.252335877725526
23.936153154726032,1730359831.661043280,,/estimatedpose.pose.position.y,9.26094553359224
23.884003955611643,1730359832.362691605,,/estimatedpose.pose.position.y,9.314236183698927
23.766411134789447,1730359832.461833528,,/estimatedpose.pose.position.y,9.375760122779035
23.655796992922607,1730359832.861792137,,/estimatedpose.pose.position.y,9.447493086699279
23.55507568732149,1730359832.961715503,,/estimatedpose.pose.position.y,9.511091532042808
23.54436854372683,1730359833.061624018,,/estimatedpose.pose.position.y,9.717289455135825
23.43080542522247,1730359833.163934956,,/estimatedpose.pose.position.y,9.747833021642373
23.35286052998817,1730359833.263448687,,/estimatedpose.pose.position.y,9.881196476838294
23.24325998394617,1730359833.363114266,,/estimatedpose.pose.position.y,9.965457640087486
23.155893086613535,1730359833.466437577,,/estimatedpose.pose.position.y,10.017659084994822
23.07385261214647,1730359833.561103897,,/estimatedpose.pose.position.y,10.095200541047356
22.993614087850517,1730359833.668154906,,/estimatedpose.pose.position.y,10.163602158327066
22.91228827744387,1730359833.765844623,,/estimatedpose.pose.position.y,10.225649332867253
22.85623300678759,1730359833.861722604,,/estimatedpose.pose.position.y,10.270789227274046
22.779441624976247,1730359834.061678120,,/estimatedpose.pose.position.y,10.342298667219426
22.73212679010923,1730359834.167856551,,/estimatedpose.pose.position.y,10.397927469724179
22.63677686158965,1730359834.367910966,,/estimatedpose.pose.position.y,10.482529343611464
22.58780601848513,1730359834.665632169,,/estimatedpose.pose.position.y,10.504921202713923
22.512442184804684,1730359835.261277024,,/estimatedpose.pose.position.y,10.55849669112834
22.434934601426505,1730359835.762400535,,/estimatedpose.pose.position.y,10.605062561783667
22.369229689916477,1730359835.861347963,,/estimatedpose.pose.position.y,10.640134873759523
22.283328996494298,1730359836.066924584,,/estimatedpose.pose.position.y,10.700106982803298
22.20306004019314,1730359836.263317582,,/estimatedpose.pose.position.y,10.74715227152992
22.096807822224573,1730359836.461352233,,/estimatedpose.pose.position.y,10.801576593179773
21.9506973491788,1730359836.564763887,,/estimatedpose.pose.position.y,10.887229533881591
21.87383690696664,1730359836.761200806,,/estimatedpose.pose.position.y,10.919636862907343
21.801474660937885,1730359836.861040086,,/estimatedpose.pose.position.y,10.972206502375464
21.72720975163293,1730359836.961168390,,/estimatedpose.pose.position.y,11.019579027369812
21.643422806318636,1730359837.062754135,,/estimatedpose.pose.position.y,11.065774412111976
21.537938128929284,1730359837.161242953,,/estimatedpose.pose.position.y,11.13167104588841
21.436112112598636,1730359837.361146259,,/estimatedpose.pose.position.y,11.165568038347645
21.337744614125153,1730359837.562377910,,/estimatedpose.pose.position.y,11.216463513228138
21.225466297923823,1730359837.663913822,,/estimatedpose.pose.position.y,11.273979350119422
21.081116000077657,1730359837.764102431,,/estimatedpose.pose.position.y,11.40408320015381
20.896482160016625,1730359837.963409048,,/estimatedpose.pose.position.y,11.51078972764914
20.752971918544638,1730359838.062754555,,/estimatedpose.pose.position.y,11.631377186313712
20.671123970695547,1730359838.163717160,,/estimatedpose.pose.position.y,11.673576773500596
20.51212976619311,1730359838.261359084,,/estimatedpose.pose.position.y,11.744106133695468
20.429175442990083,1730359838.362264452,,/estimatedpose.pose.position.y,11.8024997243331
20.32836488733494,1730359838.461849240,,/estimatedpose.pose.position.y,11.858288231582938
20.17515064362017,1730359838.562220932,,/estimatedpose.pose.position.y,11.93868178028572
20.0275319590354,1730359838.762728918,,/estimatedpose.pose.position.y,12.013066041759853
19.939312341762488,1730359838.865777295,,/estimatedpose.pose.position.y,12.072146431049294
19.84312515052893,1730359838.962088437,,/estimatedpose.pose.position.y,12.138149488474363
19.76131398147429,1730359839.161416675,,/estimatedpose.pose.position.y,12.188865714047308
19.787546336983738,1730359839.464031714,,/estimatedpose.pose.position.y,12.18086428381709
19.816697058504808,1730359839.961289991,,/estimatedpose.pose.position.y,12.162657191562097
19.74658471319509,1730359840.681389301,,/estimatedpose.pose.position.y,12.254553467556246
19.67859664479084,1730359841.161420902,,/estimatedpose.pose.position.y,12.33697140001554
19.59427702488951,1730359841.363852251,,/estimatedpose.pose.position.y,12.457007694950297
19.526523552653547,1730359841.561900083,,/estimatedpose.pose.position.y,12.590456739103674
19.40382855838055,1730359841.761220061,,/estimatedpose.pose.position.y,12.760430464076846
19.348088626010195,1730359841.863300843,,/estimatedpose.pose.position.y,12.83222868307754
19.28967771639798,1730359842.061915031,,/estimatedpose.pose.position.y,12.946596505167124
19.21170967284498,1730359842.181198115,,/estimatedpose.pose.position.y,13.085863136970751
19.15125611502324,1730359842.366631551,,/estimatedpose.pose.position.y,13.16342826410876
19.006111148086816,1730359842.503020340,,/estimatedpose.pose.position.y,13.373960080762442
18.935711568081075,1730359842.662764118,,/estimatedpose.pose.position.y,13.466385580320978
18.884938816180647,1730359842.762695707,,/estimatedpose.pose.position.y,13.533857123845701
18.806881948625684,1730359842.863335975,,/estimatedpose.pose.position.y,13.639443108595499
18.73930709919944,1730359842.961149517,,/estimatedpose.pose.position.y,13.737669396456191
18.667418922417628,1730359843.062019632,,/estimatedpose.pose.position.y,13.853138003528256
18.613402963017055,1730359843.164119146,,/estimatedpose.pose.position.y,13.916902504895914
18.446382225437493,1730359843.284854842,,/estimatedpose.pose.position.y,14.127768432933701
18.377111262841552,1730359843.462130209,,/estimatedpose.pose.position.y,14.230872037853853
18.31571126468651,1730359843.561253002,,/estimatedpose.pose.position.y,14.34373054943435
18.247463850064236,1730359843.663278714,,/estimatedpose.pose.position.y,14.42550567879438
18.201004234796493,1730359843.764845411,,/estimatedpose.pose.position.y,14.49247778346918
18.133106012518404,1730359843.864250637,,/estimatedpose.pose.position.y,14.58729668884905
18.092003901104132,1730359844.065532437,,/estimatedpose.pose.position.y,14.684574812914187
18.02645383513089,1730359844.162636081,,/estimatedpose.pose.position.y,14.76806399777773
17.902864596694535,1730359844.661220806,,/estimatedpose.pose.position.y,14.938509436974376
17.842377584788576,1730359844.771660705,,/estimatedpose.pose.position.y,15.0227403076748
17.781239099392593,1730359844.870757768,,/estimatedpose.pose.position.y,15.100978776504046
17.697773623201957,1730359844.965912319,,/estimatedpose.pose.position.y,15.20840924091546
17.63996223630827,1730359845.061332151,,/estimatedpose.pose.position.y,15.286579248197437
17.549159251749355,1730359845.161739097,,/estimatedpose.pose.position.y,15.41919532235317
17.499160509653137,1730359845.366884055,,/estimatedpose.pose.position.y,15.53147191964303
17.440126330225038,1730359845.462232161,,/estimatedpose.pose.position.y,15.614465131581284
17.366144096576186,1730359845.561197419,,/estimatedpose.pose.position.y,15.717142651499614
17.314746155086716,1730359845.661505601,,/estimatedpose.pose.position.y,15.779184934737723
17.269435367442927,1730359845.764526850,,/estimatedpose.pose.position.y,15.840977818249202
17.214614578161864,1730359845.860934093,,/estimatedpose.pose.position.y,15.914358457471735
17.141464179124384,1730359845.961475010,,/estimatedpose.pose.position.y,16.015497589335563
17.076562625831887,1730359846.061233131,,/estimatedpose.pose.position.y,16.10973322473195
17.022615080530777,1730359846.163204722,,/estimatedpose.pose.position.y,16.19338985988025
16.95862843697913,1730359846.263385342,,/estimatedpose.pose.position.y,16.283977548212707
16.85779523760661,1730359846.410886804,,/estimatedpose.pose.position.y,16.408205124932472
16.74673840066178,1730359846.561259318,,/estimatedpose.pose.position.y,16.541344783270475
16.673772911709424,1730359846.661743542,,/estimatedpose.pose.position.y,16.65766386065084
16.596550251088324,1730359846.764109691,,/estimatedpose.pose.position.y,16.76928216749348
16.499258830891684,1730359846.861404769,,/estimatedpose.pose.position.y,16.85846601476162
16.43260896867549,1730359846.962888275,,/estimatedpose.pose.position.y,16.96890513004575
16.304649410682504,1730359847.162179906,,/estimatedpose.pose.position.y,17.115974004758606
16.152345144844805,1730359847.303578739,,/estimatedpose.pose.position.y,17.284959507988876
16.08405936730166,1730359847.463031507,,/estimatedpose.pose.position.y,17.396938204156225
15.992428133958194,1730359847.563882889,,/estimatedpose.pose.position.y,17.525819725990736
15.954265189911172,1730359847.861159454,,/estimatedpose.pose.position.y,17.521775240902702
16.003189548381254,1730359848.665816353,,/estimatedpose.pose.position.y,17.49031046546116
15.855295239624663,1730359849.061234076,,/estimatedpose.pose.position.y,17.599936189965277
15.73836548257991,1730359849.163457632,,/estimatedpose.pose.position.y,17.65820061121008
15.669934700855025,1730359849.482013073,,/estimatedpose.pose.position.y,17.707043297375193
15.512016040157095,1730359849.661417637,,/estimatedpose.pose.position.y,17.799720717843897
15.333410914836218,1730359849.786360674,,/estimatedpose.pose.position.y,17.9395971086165
15.225233734583293,1730359849.962508429,,/estimatedpose.pose.position.y,17.99930621895101
15.144812574809148,1730359850.062391810,,/estimatedpose.pose.position.y,18.047992942187072
14.94911107918127,1730359850.184669221,,/estimatedpose.pose.position.y,18.14748876983644
14.825918162815992,1730359850.364874728,,/estimatedpose.pose.position.y,18.220378523238633
14.713149552456418,1730359850.462656853,,/estimatedpose.pose.position.y,18.290534968827586
14.593350802926567,1730359850.661908310,,/estimatedpose.pose.position.y,18.330713002774075
14.480876872153223,1730359850.761149862,,/estimatedpose.pose.position.y,18.408710615625953
14.319985838558942,1730359850.967328815,,/estimatedpose.pose.position.y,18.50120080242251
14.134905362245327,1730359851.063011309,,/estimatedpose.pose.position.y,18.59180358048019
14.010681527009732,1730359851.182314706,,/estimatedpose.pose.position.y,18.67913937242965
13.937161466130995,1730359851.463183050,,/estimatedpose.pose.position.y,18.738863480681786
13.951471419850185,1730359851.563716565,,/estimatedpose.pose.position.y,18.733206771339216
13.896091703301137,1730359852.263733493,,/estimatedpose.pose.position.y,18.779197981624915
13.870708302559978,1730359852.761002648,,/estimatedpose.pose.position.y,18.85860545556336
13.946911014233844,1730359852.964188312,,/estimatedpose.pose.position.y,18.772587106969407
13.860629596166293,1730359853.063553409,,/estimatedpose.pose.position.y,18.859358412788076
13.786647443580978,1730359853.161217767,,/estimatedpose.pose.position.y,18.93139783900454
13.630005872603315,1730359853.463632074,,/estimatedpose.pose.position.y,19.091370151144883
13.525289707077194,1730359853.586427136,,/estimatedpose.pose.position.y,19.187294159305964
13.402684534187355,1730359853.861228376,,/estimatedpose.pose.position.y,19.29364833832352
13.311141072436168,1730359853.963639484,,/estimatedpose.pose.position.y,19.38426018690555
13.258918419102617,1730359854.063665368,,/estimatedpose.pose.position.y,19.436880834644942
13.085689354732843,1730359854.263330702,,/estimatedpose.pose.position.y,19.60041141954647
13.02094442994322,1730359854.363374010,,/estimatedpose.pose.position.y,19.668941101239426
12.876520093054198,1730359854.561406720,,/estimatedpose.pose.position.y,19.82459708502141
12.757513991307448,1730359854.661549559,,/estimatedpose.pose.position.y,19.939142029603406
12.669078179325034,1730359854.762451948,,/estimatedpose.pose.position.y,20.02821551188288
12.58891526221187,1730359854.862221037,,/estimatedpose.pose.position.y,20.101801070278096
12.470288369583109,1730359854.961231434,,/estimatedpose.pose.position.y,20.20121538034843
12.399756144945176,1730359855.061400904,,/estimatedpose.pose.position.y,20.27369303447965
12.317463547426184,1730359855.167747347,,/estimatedpose.pose.position.y,20.34991401310743
12.212515667598149,1730359855.362301527,,/estimatedpose.pose.position.y,20.47069973195531
12.139284008095492,1730359855.561935490,,/estimatedpose.pose.position.y,20.55813183445248
12.016685575420643,1730359855.763328873,,/estimatedpose.pose.position.y,20.670273952037952
12.059423695869288,1730359855.861284647,,/estimatedpose.pose.position.y,20.594503386235623
11.95398214699608,1730359855.963598165,,/estimatedpose.pose.position.y,20.6990779210731
11.838857294272131,1730359856.266217040,,/estimatedpose.pose.position.y,20.78444108950373
11.761119261287392,1730359856.361313453,,/estimatedpose.pose.position.y,20.833557019034714
11.678905372092286,1730359856.462297498,,/estimatedpose.pose.position.y,20.91290248267813
11.554973083456769,1730359856.664913826,,/estimatedpose.pose.position.y,21.0162595747251
11.476147982122336,1730359856.764671586,,/estimatedpose.pose.position.y,21.09348292009329
11.387012324941956,1730359856.861111870,,/estimatedpose.pose.position.y,21.157728356028496
11.303150492165043,1730359856.989334872,,/estimatedpose.pose.position.y,21.2344055911512
11.24124113316391,1730359857.161194442,,/estimatedpose.pose.position.y,21.290464867747794
11.109275591180992,1730359857.261206288,,/estimatedpose.pose.position.y,21.41746181930499
11.037879122689736,1730359857.363215209,,/estimatedpose.pose.position.y,21.483721663292044
10.93622500705213,1730359857.467535417,,/estimatedpose.pose.position.y,21.58061901189469
10.862478225266404,1730359857.563263050,,/estimatedpose.pose.position.y,21.641553583237187
10.71074397089253,1730359857.670997736,,/estimatedpose.pose.position.y,21.83058834562718
10.61540372349972,1730359857.864178704,,/estimatedpose.pose.position.y,21.90884267822776
10.530300464257179,1730359857.961284334,,/estimatedpose.pose.position.y,21.986181532498154
10.398081800922927,1730359858.063044631,,/estimatedpose.pose.position.y,22.111802692476488
10.325994757977506,1730359858.164070700,,/estimatedpose.pose.position.y,22.167027246336936
10.237251545779468,1730359858.263633821,,/estimatedpose.pose.position.y,22.25139248439168
10.147761368303975,1730359858.361214627,,/estimatedpose.pose.position.y,22.337294037783252
10.004208621742603,1730359858.661519147,,/estimatedpose.pose.position.y,22.49405548851638
9.911426749318343,1730359858.763198465,,/estimatedpose.pose.position.y,22.582517490889746
9.831029568848416,1730359858.861284058,,/estimatedpose.pose.position.y,22.654126142779777
9.690851266738171,1730359858.989023442,,/estimatedpose.pose.position.y,22.78092711998734
9.637976346044905,1730359859.164657022,,/estimatedpose.pose.position.y,22.83622638552656
9.544335726150404,1730359859.262082054,,/estimatedpose.pose.position.y,22.926749813912245
9.457787329624482,1730359859.365030584,,/estimatedpose.pose.position.y,22.99054595325045
9.381692520993418,1730359859.465800762,,/estimatedpose.pose.position.y,23.059043640705493
9.23505246576825,1730359859.661961566,,/estimatedpose.pose.position.y,23.171775113022633
9.117132354778182,1730359859.861326593,,/estimatedpose.pose.position.y,23.268672085151326
9.066323764024936,1730359859.966618458,,/estimatedpose.pose.position.y,23.328981902730153
